TRPER20141219A477.XML;2019-10-07;2019-10-07 21:38:26;103;112;26;8906547;0;1109;2014-12-19;08:37:46;0;0;0;0;0;42124;6547;11;0103;
TRPER20141219A478.XML;2019-10-07;2019-10-07 21:38:26;103;112;26;8906547;0;1110;2014-12-19;08:39:15;0;0;0;0;0;42201;6547;11;0103;
TRPER20141219A479.XML;2019-10-07;2019-10-07 21:38:26;103;112;26;8906547;0;1111;2014-12-19;08:40:02;0;0;0;0;0;42247;6547;11;0103;
TRPER20141219A479.XML;2019-10-07;2019-10-07 21:38:26;103;112;26;8912180;0;2703;2014-12-19;08:40:17;0;0;0;0;0;25490;2180;13;0103;
TRPER20141219A481.XML;2019-10-07;2019-10-07 21:38:26;103;112;26;08716177;0;8062;2014-12-19;08:42:19;0;0;0;0;0;27616;6177;55;0103;
TRPER20141219A482.XML;2019-10-07;2019-10-07 21:38:26;103;112;26;8906547;0;1112;2014-12-19;08:42:45;0;0;0;0;0;42377;6547;11;0103;
TRPER20141219A482.XML;2019-10-07;2019-10-07 21:38:26;103;112;26;8912180;0;2704;2014-12-19;08:42:46;0;0;0;0;0;25535;2180;13;0103;
TRPER20141219A484.XML;2019-10-07;2019-10-07 21:38:27;103;112;26;8906547;0;1113;2014-12-19;08:45:06;0;0;0;0;0;42477;6547;11;0103;
TRPER20141219A489.XML;2019-10-07;2019-10-07 21:38:27;103;112;26;8906547;0;1114;2014-12-19;08:50:02;0;0;0;0;0;42571;6547;11;0103;
TRPER20141219A490.XML;2019-10-07;2019-10-07 21:38:27;103;112;26;8906547;0;1115;2014-12-19;08:50:52;0;0;0;0;0;42626;6547;11;0103;
TRPER20141219A494.XML;2019-10-07;2019-10-07 21:38:27;103;112;26;8906547;0;1116;2014-12-19;08:55:03;0;0;0;0;0;42675;6547;11;0103;
TRPER20141219A495.XML;2019-10-07;2019-10-07 21:38:27;103;112;26;8912180;0;2705;2014-12-19;08:55:29;0;0;0;0;0;25677;2180;13;0103;
TRPER20141219A496.XML;2019-10-07;2019-10-07 21:38:27;103;112;26;8906547;0;1117;2014-12-19;08:56:53;0;0;0;0;0;42719;6547;11;0103;
TRPER20141219A497.XML;2019-10-07;2019-10-07 21:38:27;103;112;26;8912180;0;2706;2014-12-19;08:58:16;0;0;0;0;0;25779;2180;13;0103;
TRPER20141219A499.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8912180;0;2707;2014-12-19;08:59:37;0;0;0;0;0;25830;2180;13;0103;
TRPER20141219A502.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8906547;0;1118;2014-12-19;09:03:09;0;0;0;0;0;42864;6547;11;0103;
TRPER20141219A502.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8912180;0;2708;2014-12-19;09:03:06;0;0;0;0;0;25896;2180;13;0103;
TRPER20141219A503.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8906547;0;1119;2014-12-19;09:04:01;0;0;0;0;0;42918;6547;11;0103;
TRPER20141219A503.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8912180;0;2709;2014-12-19;09:04:18;0;0;0;0;0;25951;2180;13;0103;
TRPER20141219A504.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8906547;0;1120;2014-12-19;09:04:43;0;0;0;0;0;42959;6547;11;0103;
TRPER20141219A508.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8912180;0;2710;2014-12-19;09:08:58;0;0;0;0;0;26027;2180;13;0103;
TRPER20141219A509.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8595035;0;328;2014-12-19;09:09:30;0;0;0;0;0;61350;5035;57;0103;
TRPER20141219A510.XML;2019-10-07;2019-10-07 21:38:28;103;112;26;8906547;0;1121;2014-12-19;09:11:02;0;0;0;0;0;43079;6547;11;0103;
TRPER20141219A510.XML;2019-10-07;2019-10-07 21:38:29;103;112;26;8912180;0;2711;2014-12-19;09:11:10;0;0;0;0;0;26139;2180;13;0103;
